               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.017956,           0.0059087,                   0,              0.9487,             0.93633,             0.95455,             0.81784,            0.016018,           0.0040558,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.016994,           0.0052057,                   0,             0.94851,             0.93671,             0.96532,             0.84261,            0.016056,           0.0038251,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.016667,           0.0049943,                   0,             0.94913,             0.94483,             0.96337,             0.82326,             0.01728,           0.0037707,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.018796,           0.0055481,                   0,             0.96147,             0.94754,             0.96148,             0.81465,            0.017493,            0.003885,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.017629,           0.0052355,                   0,             0.94454,             0.94937,             0.95533,             0.83354,            0.016515,           0.0041777,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.017699,           0.0053214,                   0,             0.92391,             0.94937,             0.95253,             0.82851,            0.016412,           0.0040492,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,            0.017193,           0.0050106,                   0,             0.93312,             0.93671,             0.95104,             0.82191,            0.016155,           0.0041977,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.015505,           0.0048851,                   0,             0.93001,             0.92405,             0.94618,             0.80882,            0.015636,           0.0040774,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.016178,           0.0054084,                   0,             0.93658,             0.93472,             0.95318,             0.83366,            0.014844,           0.0038304,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.016332,           0.0051309,                   0,             0.92112,             0.93671,              0.9531,             0.82483,            0.015023,            0.003964,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.015789,           0.0051034,                   0,             0.95929,             0.93671,             0.94871,              0.8187,            0.014949,           0.0039465,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,             0.01731,           0.0052504,                   0,             0.93313,             0.94937,             0.95934,             0.83941,            0.014593,           0.0037259,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.017588,           0.0054202,                   0,             0.92683,             0.96199,             0.96242,              0.8308,            0.014745,           0.0036713,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.015948,           0.0049826,                   0,             0.93876,             0.97022,             0.95577,             0.81918,            0.014937,           0.0036491,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,             0.01582,           0.0047894,                   0,             0.94254,             0.94937,             0.96204,             0.82996,            0.014755,           0.0037388,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.017408,           0.0056564,                   0,             0.94981,             0.95815,             0.96331,             0.83936,            0.014118,           0.0037448,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.017712,           0.0055186,                   0,             0.96145,             0.94715,             0.97085,             0.83553,             0.01523,           0.0038338,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.015989,           0.0049625,                   0,             0.93825,             0.93671,             0.96221,             0.83254,            0.014148,           0.0039062,                   0,            0.007822,            0.007822,            0.007822
                 112,            0.014895,           0.0049506,                   0,             0.94857,             0.93671,             0.95613,             0.81737,            0.014229,           0.0038278,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.014761,           0.0050627,                   0,             0.95069,             0.92405,             0.95968,             0.83675,            0.014575,           0.0039811,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,             0.01706,           0.0056732,                   0,             0.95703,             0.93671,             0.95605,             0.84276,            0.014758,           0.0041504,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.013989,           0.0047793,                   0,             0.96984,             0.91139,             0.96076,             0.82334,            0.015376,           0.0038901,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,            0.017026,           0.0051148,                   0,             0.95947,             0.92405,             0.96444,             0.83659,            0.013788,           0.0038301,                   0,            0.007723,            0.007723,            0.007723
                 117,            0.015734,           0.0049326,                   0,             0.91309,             0.94937,             0.96314,             0.84042,            0.013799,           0.0036955,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,            0.015583,           0.0051397,                   0,             0.94778,             0.93671,              0.9625,             0.83666,            0.014017,           0.0036166,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,            0.015834,           0.0048246,                   0,             0.94981,             0.95821,              0.9611,             0.84359,            0.013888,            0.003919,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,            0.016934,           0.0050696,                   0,             0.92607,             0.96203,             0.96535,             0.84475,            0.013323,           0.0036314,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,            0.015668,           0.0051763,                   0,             0.91384,             0.97468,             0.94806,             0.82145,            0.013694,           0.0036635,                   0,            0.007624,            0.007624,            0.007624
                 122,            0.015974,           0.0055007,                   0,             0.91555,             0.96068,              0.9503,             0.82006,            0.013786,           0.0037023,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,            0.017487,           0.0054827,                   0,             0.93092,             0.93671,             0.94302,             0.79827,            0.015166,           0.0039962,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,            0.014964,           0.0058841,                   0,             0.90327,             0.94566,             0.94556,             0.82547,            0.014795,           0.0041815,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,            0.015274,           0.0050128,                   0,             0.92119,             0.92405,             0.94837,             0.81913,            0.014903,           0.0038431,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,             0.01614,           0.0054711,                   0,             0.93577,             0.93671,             0.93626,             0.80493,            0.015555,           0.0040456,                   0,            0.007525,            0.007525,            0.007525
                 127,             0.01624,           0.0053629,                   0,              0.9364,             0.94937,             0.94766,             0.82602,            0.015317,           0.0040564,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,            0.013728,           0.0050092,                   0,             0.95994,             0.91008,             0.95528,             0.84275,            0.014323,           0.0038746,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,            0.015777,           0.0046971,                   0,             0.91106,             0.94937,              0.9538,             0.82085,            0.015498,           0.0037269,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,            0.015052,           0.0052113,                   0,             0.89318,             0.96203,             0.93323,             0.82068,            0.014681,           0.0037403,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,            0.014979,           0.0046163,                   0,             0.92434,             0.92795,             0.94252,              0.8131,            0.015703,           0.0038983,                   0,            0.007426,            0.007426,            0.007426
                 132,            0.014157,            0.004915,                   0,             0.94855,             0.93352,             0.95193,             0.82799,            0.015941,           0.0039309,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,             0.01638,           0.0050589,                   0,             0.95986,             0.93671,             0.95565,              0.8206,            0.015563,           0.0039768,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,            0.016455,            0.005091,                   0,             0.93646,              0.9329,             0.95423,             0.82383,            0.016253,           0.0040471,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,            0.014817,           0.0050839,                   0,              0.9315,             0.91139,             0.94368,             0.84332,             0.01486,           0.0041854,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,             0.01404,            0.004974,                   0,             0.90245,             0.93685,             0.93433,             0.81298,              0.0146,           0.0042854,                   0,            0.007327,            0.007327,            0.007327
                 137,            0.015198,           0.0054257,                   0,             0.92379,             0.94937,             0.94096,             0.81323,            0.015158,           0.0040568,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,            0.016583,            0.005207,                   0,             0.93726,             0.94547,             0.94561,             0.81744,            0.015704,           0.0040124,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,            0.015586,           0.0047977,                   0,             0.93601,             0.96203,             0.95847,             0.83667,             0.01513,           0.0037997,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,            0.015964,           0.0054787,                   0,             0.92396,             0.94937,             0.95799,             0.84422,            0.013897,           0.0038757,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,            0.013848,           0.0043983,                   0,              0.9372,             0.96203,             0.96169,             0.83699,             0.01488,           0.0037881,                   0,            0.007228,            0.007228,            0.007228
                 142,            0.014272,           0.0049517,                   0,             0.93691,             0.94937,              0.9653,             0.83785,            0.014828,           0.0036295,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,             0.01443,           0.0048551,                   0,             0.91555,             0.96065,             0.96659,             0.84524,            0.014759,           0.0036628,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,            0.015304,           0.0046677,                   0,             0.93358,             0.94937,             0.96368,             0.85315,            0.014154,           0.0035543,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,            0.015255,           0.0055839,                   0,             0.92327,             0.94937,              0.9557,             0.84283,            0.014693,           0.0038358,                   0,           0.0071488,           0.0071488,           0.0071488
