               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 158,            0.013127,           0.0041836,                   0,             0.92672,             0.96051,              0.9692,             0.85162,            0.014591,           0.0034334,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.011331,           0.0049172,                   0,             0.90579,             0.97359,             0.97047,             0.86023,            0.014062,           0.0034666,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.012034,           0.0039955,                   0,             0.93699,             0.96203,             0.97082,             0.85817,            0.014764,           0.0034833,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.012676,           0.0052427,                   0,             0.93962,             0.98492,              0.9719,             0.86281,            0.014892,           0.0032959,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.012054,           0.0043447,                   0,             0.93507,             0.97468,              0.9745,             0.86075,            0.015506,           0.0032981,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.013351,           0.0045617,                   0,             0.92795,             0.97821,             0.97306,              0.8544,            0.015383,           0.0033957,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.011814,           0.0038499,                   0,             0.93078,             0.97468,             0.97409,             0.85863,            0.015491,           0.0033457,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.011654,           0.0041667,                   0,             0.93705,             0.96203,             0.97463,             0.86364,            0.014534,           0.0033107,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.011447,           0.0041166,                   0,             0.93691,             0.96203,             0.97328,             0.85501,            0.015099,           0.0033269,                   0,            0.004555,            0.004555,            0.004555
                 167,             0.01347,           0.0040848,                   0,             0.93662,             0.96203,              0.9741,             0.86048,            0.014505,           0.0034211,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.012063,           0.0044955,                   0,             0.92462,             0.98734,              0.9718,             0.85137,              0.0146,           0.0034508,                   0,            0.004489,            0.004489,            0.004489
